time,raw,data
2026-04-27 16:04:06,recv: FFC9HELLO3,FFC9HELLO3
2026-04-27 16:04:11,recv: FFC4HELLO3,FFC4HELLO3
2026-04-27 16:04:16,recv: FFC7HELLO3,FFC7HELLO3
2026-04-27 16:04:21,recv: FFC5HELLO3,FFC5HELLO3
2026-04-27 16:04:26,recv: FFC4HELLO3,FFC4HELLO3
2026-04-27 16:04:31,recv: FFC7HELLO3,FFC7HELLO3
2026-04-27 16:04:36,recv: FFC7HELLO3,FFC7HELLO3
2026-04-27 16:04:41,recv: FFC5HELLO3,FFC5HELLO3
2026-04-27 16:04:46,recv: FFC7HELLO3,FFC7HELLO3
2026-04-27 16:04:51,recv: FFC8HELLO3,FFC8HELLO3
2026-04-27 17:12:05,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:12:10,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:12:15,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:12:20,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:12:25,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:12:30,recv: FFE0HELLO4,FFE0HELLO4
2026-04-27 17:12:35,recv: FFE3HELLO4,FFE3HELLO4
2026-04-27 17:12:40,recv: FFECHELLO4,FFECHELLO4
2026-04-27 17:12:45,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:12:50,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:12:55,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:13:00,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:13:05,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:10,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:15,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:20,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:25,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:30,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:35,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:40,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:45,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:50,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:13:55,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:00,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:05,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:10,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:15,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:20,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:25,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:14:30,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:14:35,recv: FFECHELLO4,FFECHELLO4
2026-04-27 17:14:40,recv: FFECHELLO4,FFECHELLO4
2026-04-27 17:14:45,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:14:50,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:14:55,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:15:00,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:15:05,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:15:10,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:15:15,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:15:20,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:15:25,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:15:30,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:15:35,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:15:40,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:15:45,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:15:50,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:15:55,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:00,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:05,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:10,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:15,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:20,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:25,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:30,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:35,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:40,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:45,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:16:50,recv: FFE9HELLO4,FFE9HELLO4
2026-04-27 17:16:55,recv: FFEBHELLO4,FFEBHELLO4
2026-04-27 17:17:00,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:17:05,recv: FFEAHELLO4,FFEAHELLO4
2026-04-27 17:17:10,recv: FFEAHELLO4,FFEAHELLO4
