time,raw,status,json_part,qr_id,bc_ok,txhash,bc_error
2026-05-02 16:31:40,"recv: FFD3{""qr_id"":""a5""}",recv: FFD3,"{""qr_id"":""a5""}",a5,True,ACB6176F77210705E03D6F40C724599832EC270446A08DAE9C46E871DB6837B1,
2026-05-02 16:41:40,"recv: FFD3{""qr_id"":""af""}",recv,FFD3,"{""qr_id"":""af""}",af,503126878d17fcd6bde7df320ff6eb7c278a1c42f30014a03b17f3dd0c023c1d,a4b64390716a2b481a37adaf6b85be983aea7ea3f2ef3e27c0c5dbc3292c0cc7,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""a4b64390716a2b481a37adaf6b85be983aea7ea3f2ef3e27c0c5dbc3292c0cc7"",""qr_id"":""503126878d17fcd6bde7df320ff6eb7c278a1c42f30014a03b17f3dd0c023c1d""}}",True,8522A9DFB356289FA52B63A4A72AE7B9FB9181B5CE2A09A357CC8EB554D700BD,
2026-05-02 16:42:40,"recv: FFD3{""qr_id"":""b0""}",recv,FFD3,"{""qr_id"":""b0""}",b0,c02c0b965e023abee808f2b548d8d5193a8b5229be6f3121a6f16e2d41a449b3,77334b7a22d280be9d73de988389ef8cc2068fe7ccc22e1977bc0ddd829f9c9b,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""77334b7a22d280be9d73de988389ef8cc2068fe7ccc22e1977bc0ddd829f9c9b"",""qr_id"":""c02c0b965e023abee808f2b548d8d5193a8b5229be6f3121a6f16e2d41a449b3""}}",True,6EAADD21E9DE9E08FB7BDE356CB8EBA1A3CECB3233FA925910A59F79C741024B,
2026-05-02 16:43:40,"recv: FFD2{""qr_id"":""b1""}",recv,FFD2,"{""qr_id"":""b1""}",b1,7dc96f776c8423e57a2785489a3f9c43fb6e756876d6ad9a9cac4aa4e72ec193,0c7c28c1205a1d237c25e601a6cb4b77a5b641d1bf9bf2fe330204c9b9da03c8,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""0c7c28c1205a1d237c25e601a6cb4b77a5b641d1bf9bf2fe330204c9b9da03c8"",""qr_id"":""7dc96f776c8423e57a2785489a3f9c43fb6e756876d6ad9a9cac4aa4e72ec193""}}",True,8CC98495E28192BBA5B007BF33EA0AC576F35B544F6C0047D879123B8C595EA3,
2026-05-02 16:44:40,"recv: FFD3{""qr_id"":""b2""}",recv,FFD3,"{""qr_id"":""b2""}",b2,4814d92093ac8a0f4a2163ab87dee509ba306a58f5888be0edcb2fcd0712028b,9899a326313d131c2fff70f77610239488ca8fb46bfdd29b55a248d29c1111e9,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""9899a326313d131c2fff70f77610239488ca8fb46bfdd29b55a248d29c1111e9"",""qr_id"":""4814d92093ac8a0f4a2163ab87dee509ba306a58f5888be0edcb2fcd0712028b""}}",True,B6A29EBB9A6F43B9F1DE13A0E88B8CF17964B83BA51FB69986CCFAE934A13487,
2026-05-02 16:45:40,"recv: FFD3{""qr_id"":""b3""}",recv,FFD3,"{""qr_id"":""b3""}",b3,76a8277347f52530e1cf979175a178980b3a180d176165c985d85f7e142f1eed,b5c3b06189e29f5d42291f7e20d4a95bee8fa1c01486e9263a1efd7d05df7cfa,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""b5c3b06189e29f5d42291f7e20d4a95bee8fa1c01486e9263a1efd7d05df7cfa"",""qr_id"":""76a8277347f52530e1cf979175a178980b3a180d176165c985d85f7e142f1eed""}}",True,BC7CDB8357FCBD687CB361F6728865E2BC02CB770152D24E19352C63F927AFCC,
2026-05-02 16:46:40,"recv: FFD4{""qr_id"":""b4""}",recv,FFD4,"{""qr_id"":""b4""}",b4,486bacc5c2d8a71a73d51bf8e522deaa264ec2628dca2955da1e9b8e00f21943,e1164452a11936503ded12909ca1d4be64121c6dd4b7caf903217ffb4b8edca6,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""e1164452a11936503ded12909ca1d4be64121c6dd4b7caf903217ffb4b8edca6"",""qr_id"":""486bacc5c2d8a71a73d51bf8e522deaa264ec2628dca2955da1e9b8e00f21943""}}",True,7BA7650E4C21A51AE737E1849BA0123832099003E12757124B40C65667CCBFFE,
2026-05-02 16:47:40,"recv: FFD5{""qr_id"":""b5""}",recv,FFD5,"{""qr_id"":""b5""}",b5,3c5661974942379614b943d0593e4a5e3f85900ab3fb4ce064725c15ccb93a01,4a0a460cf58b07651466e341d3ce3ad7bb3d3ff0c09d61d359c1b5002ad20c01,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""4a0a460cf58b07651466e341d3ce3ad7bb3d3ff0c09d61d359c1b5002ad20c01"",""qr_id"":""3c5661974942379614b943d0593e4a5e3f85900ab3fb4ce064725c15ccb93a01""}}",1.884999,True,CB15E538B18C77FCF324E0DC7E461D3B3DA18729D3A77628D0A497F0F5A685C0,
2026-05-02 16:48:40,"recv: FFD3{""qr_id"":""b6""}",recv,FFD3,"{""qr_id"":""b6""}",b6,2f5da6e9921baa794759ee9f4b362555bcb3c1646eb51f671253b5d7d710b75e,10f3c482fb370f18d2d98cbcd46f48678357590e9d61b7f7e94416c20c29bcec,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""10f3c482fb370f18d2d98cbcd46f48678357590e9d61b7f7e94416c20c29bcec"",""qr_id"":""2f5da6e9921baa794759ee9f4b362555bcb3c1646eb51f671253b5d7d710b75e""}}",3.315055,True,62D50B68F5E55785A192C13BCA9BC679709372E4605C7E1426366FAA7E98D25B,
2026-05-02 16:49:40,"recv: FFD3{""qr_id"":""b7""}",recv,FFD3,"{""qr_id"":""b7""}",b7,e1b0acf86b9621b8c13ca17bb2f2a23d662bfa940453d8e897a77e39d9e8bd59,0e8a2581abce5f3bf8d7e5120caefb40b026a84b96a37c8c2839682fef226047,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""0e8a2581abce5f3bf8d7e5120caefb40b026a84b96a37c8c2839682fef226047"",""qr_id"":""e1b0acf86b9621b8c13ca17bb2f2a23d662bfa940453d8e897a77e39d9e8bd59""}}",1.963524,True,4388271DB98F02F88988D3F045752E6A190A6BDB2DEA1C5B4B7964ED331E4AE7,
2026-05-02 16:50:40,"recv: FFD4{""qr_id"":""b8""}",recv,FFD4,"{""qr_id"":""b8""}",b8,92ee93de02ea87db530298f4d66c63984f20a6899019e3dab1a18d2399289140,25b6cb72b110ae29cab059ab42c8f4a86febcdbeabc5994fedcea5782bfd2f92,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""25b6cb72b110ae29cab059ab42c8f4a86febcdbeabc5994fedcea5782bfd2f92"",""qr_id"":""92ee93de02ea87db530298f4d66c63984f20a6899019e3dab1a18d2399289140""}}",2.129689,True,C93DCFA40B66E8C87A06E2B4EE2E0C31D4AC15CBB515B7A050E324B9E1849184,
2026-05-02 16:51:40,"recv: FFD4{""qr_id"":""b9""}",recv,FFD4,"{""qr_id"":""b9""}",b9,cb440fe2f7ec20d54f4726630cebadb8673965ccb57a64bbeda757842fd26375,840d4e6fbd5e75cb9a05cf57cec48ab32a00cbb13ba85f9ad26802624a85985a,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""840d4e6fbd5e75cb9a05cf57cec48ab32a00cbb13ba85f9ad26802624a85985a"",""qr_id"":""cb440fe2f7ec20d54f4726630cebadb8673965ccb57a64bbeda757842fd26375""}}",2.460049,True,0933D5342FDC1A5181432F9C2A6841DF584B5F73B5791BCBA25142CE2695C2F2,
2026-05-02 16:52:40,"recv: FFD4{""qr_id"":""ba""}",recv,FFD4,"{""qr_id"":""ba""}",ba,970f519c2cadbcefb1e81694f904bc6229dd2a8300e98c6d0d4fc4bfca584140,0a4dae7910c50b222516744c179d6e8288b283d89acd1212013e86470d24c4ca,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""0a4dae7910c50b222516744c179d6e8288b283d89acd1212013e86470d24c4ca"",""qr_id"":""970f519c2cadbcefb1e81694f904bc6229dd2a8300e98c6d0d4fc4bfca584140""}}",2.166737,True,B7CA4523E96A021CC8E2745CE7E2AD80AA258562F9CF3B084253BF9DA048AA60,
2026-05-02 16:53:40,"recv: FFD4{""qr_id"":""bb""}",recv,FFD4,"{""qr_id"":""bb""}",bb,3b64db95cb55c763391c707108489ae18b4112d783300de38e033b4c98c3deaf,5acf747d18d87ca12f421fd7172a389e633365d27fcd40cd87d8c7e613cb4841,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""5acf747d18d87ca12f421fd7172a389e633365d27fcd40cd87d8c7e613cb4841"",""qr_id"":""3b64db95cb55c763391c707108489ae18b4112d783300de38e033b4c98c3deaf""}}",3.698464,True,1BC15936A68C0DFEC7503B3DD4861E166D3D90CFC07CB490899D81AAF42DE788,
2026-05-02 16:54:40,"recv: FFD4{""qr_id"":""bc""}",recv,FFD4,"{""qr_id"":""bc""}",bc,1e0bbd6c686ba050b8eb03ffeedc64fdc9d80947fce821abbe5d6dc8d252c5ac,bf954d496da635aaa2e959d8a5823752556a487642bffef80d2d3f0306a1d685,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""bf954d496da635aaa2e959d8a5823752556a487642bffef80d2d3f0306a1d685"",""qr_id"":""1e0bbd6c686ba050b8eb03ffeedc64fdc9d80947fce821abbe5d6dc8d252c5ac""}}",2.235413,True,52D231EFACED448274E2A936C38509FA24C64AD1B430A24BD3B7E9A4C9C6ED7F,
2026-05-02 16:55:40,"recv: FFD3{""qr_id"":""bd""}",recv,FFD3,"{""qr_id"":""bd""}",bd,5e657ff6158d3e2a6d23e2a523917a2305acee9423365e268695c4b7b8919f4c,f203e4db054e2f9ab197f31e0a0246659e19e9b418f2e32b46723c6973bdeae5,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""f203e4db054e2f9ab197f31e0a0246659e19e9b418f2e32b46723c6973bdeae5"",""qr_id"":""5e657ff6158d3e2a6d23e2a523917a2305acee9423365e268695c4b7b8919f4c""}}",2.173202,True,A612B781C72E8ADEE3AC7849E1E54C9B4CF18DE0C65C1DEDC7FBBD433F3C5485,
2026-05-02 16:56:40,"recv: FFD4{""qr_id"":""be""}",recv,FFD4,"{""qr_id"":""be""}",be,46599c5bb5c33101f80cea8438e2228085513dbbb19b2f5ce97bd68494d3344d,9086a156b9dfe0d82bfb4a5dce0b7f0b6e5763878cb7602957dd0a648f03b7e8,"{""payload"":{""node_id"":""node-pi-to-lora1"",""name"":""yama log e-paper"",""description"":""yama log QRe-paper"",""unique_id"":""9086a156b9dfe0d82bfb4a5dce0b7f0b6e5763878cb7602957dd0a648f03b7e8"",""qr_id"":""46599c5bb5c33101f80cea8438e2228085513dbbb19b2f5ce97bd68494d3344d""}}",2.912792,True,13139CAC803F6C784409CDFBBDA302060CEB8E4F6AFD31F6459A14764E71A4C7,
